   84       1.0158      -0.0189   1
   85       1.1670      -0.1215   1
   86       1.2933      -0.1420   1
   87       1.3986      -0.1056   1
   88       1.6402       0.1633   8
   89       1.9192       0.1699   8
   90       2.1997      -0.0973   1
   91       2.3859      -0.4611   1
   92       2.4073      -0.9511   1
   93       2.4614      -1.3438   1
   94       2.4273      -1.6190   1
   95       2.3521      -1.9007   1
   96       2.2707      -2.1410   1
   97       2.0720      -2.5914   2
   98       1.5777      -2.9582   2
   99       1.0997      -3.1944   2
  100       0.7143      -3.2941   2
  101       0.5258      -3.1575   2
  102       0.1728      -2.9190   2
  103      -0.2575      -2.2648   3
  104      -0.5691      -1.8643   3
  105      -0.7606      -1.7203   3
  106      -0.8624      -1.7595   3
  107      -1.0587      -1.9088   3
  108      -1.1682      -1.9194   3
  109      -1.3034      -1.7777   3
  110      -1.3606      -1.7347   3
  111      -1.5065      -1.7834   3
  112      -1.7248      -1.8713   3
  113      -2.0850      -1.7430   4
  114      -2.4413      -1.4094   4
  115      -2.6470      -0.9556   4
  116      -2.5329      -0.3805   4
  117      -2.4906       0.1706   5
  118      -2.4738       0.7116   5
  119      -2.4056       1.1952   5
  120      -2.1470       1.5774   5
  121      -1.8175       1.7909   5
  122      -1.4425       1.9967   6
  123      -1.0444       2.2000   6
  124      -0.5051       2.5395   6
  125       0.1389       2.7371   7
  126       0.7868       2.6771   7
  127       1.3957       2.5240   7
  128       1.9392       2.2529   7
  129       2.4409       1.9652   8
  130       2.8728       1.4064   8
  131       3.0867       0.7081   8
  132       3.3027       0.1289   8
  133       3.3540      -0.5034   1
  134       3.3000      -1.0995   1
  135       3.1973      -1.7616   1
  136       2.8410      -2.4602   1
  137       2.5612      -2.8287   2
  138       2.0279      -3.1235   2
  139       1.5395      -3.1027   2
  140       1.0894      -2.9612   2
  141       0.8043      -2.8493   2
  142       0.6126      -2.7404   2
  143       0.4684      -2.8324   2
  144       0.3326      -2.8841   2
  145       0.0516      -2.9377   2
  146      -0.5027      -2.9997   3
  147      -0.9545      -2.7941   3
  148      -1.2263      -2.5030   3
  149      -1.4470      -2.3496   3
  150      -1.6526      -2.0482   3
  151      -1.8334      -1.6861   4
  152      -1.8659      -1.1573   4
  153      -1.9564      -0.7794   4
  154      -2.0163      -0.4283   4
  155      -2.0386      -0.0035   4
  156      -1.9047       0.4017   5
  157      -1.4991       0.7282   5
  158      -0.9847       0.8507   5
  159      -0.6169       0.9527   6
  160      -0.4001       1.0340   6
  161      -0.2595       1.0638   6
  162      -0.1252       1.0637   6
  163       0.0506       1.0194   7
  164       0.2572       0.6472   7
  165       0.3453       0.3512   7
  166       0.4422       0.1773   8
  167       0.5591      -0.0543   1
  168       0.5849      -0.3287   1
  169       0.5410      -0.5840   2
  170       0.3740      -0.7510   2
  171       0.1959      -1.0232   2
  172      -0.0424      -1.2341   3
  173      -0.2990      -1.2743   3
  174      -0.5931      -1.2616   3
  175      -0.8365      -1.3668   3
  176      -1.1995      -1.4767   3
  177      -1.5748      -1.3770   4
  178      -1.7800      -1.1948   4
  179      -1.9325      -0.9817   4
  180      -2.0440      -0.7398   4
  181      -2.1159      -0.4106   4
  182      -2.0860      -0.0156   4
  183      -1.9933       0.2688   5
  184      -1.9510       0.5145   5
