company_id,nse_symbol,fiscal_year,quarter,period_end,filing_date,source_url,match_confidence,attachment_format,extraction_status,extracted_char_count,xbrl_available,notes
HDFCBANK,HDFCBANK,FY2026,Q1,2025-06-30,19-Jul-2025 14:51:02,https://nsearchives.nseindia.com/corporate/HDFCBANK_19072025144748_SEintimationBMFinancial_Results19jul2025_FINAL.pdf,text_confirmed,pdf,extracted,67056,True,
HDFCBANK,HDFCBANK,FY2026,Q2,2025-09-30,18-Oct-2025 14:08:44,https://nsearchives.nseindia.com/corporate/HDFCBANK_18102025140719_SEintimationBMFinancialResults18102025.pdf,text_confirmed,pdf,extracted,2253,True,
HDFCBANK,HDFCBANK,FY2026,Q3,2025-12-31,17-Jan-2026 14:41:09,https://nsearchives.nseindia.com/corporate/HDFCBANK_17012026143925_SEResultReg3017012026.pdf,text_confirmed,pdf,extracted,72239,True,
HDFCBANK,HDFCBANK,FY2026,Q4,2026-03-31,18-Apr-2026 14:45:47,https://nsearchives.nseindia.com/corporate/HDFCBANK_18042026144226_SEResultOutcome18042026.pdf,text_confirmed,pdf,extracted,6770,True,
HDFCBANK,HDFCBANK,FY2027,Q1,2026-06-30,18-Jul-2026 14:22:30,https://nsearchives.nseindia.com/corporate/HDFCBANK_18072026142204_SEIntimationResult30062026.pdf,text_confirmed,pdf,extracted,2410,True,
RELIANCE,RELIANCE,FY2015,Q2,2014-09-30,13-Oct-2014 18:19:02,https://nsearchives.nseindia.com/corporate/RIL_30092014_LR_10132014181902_.zip,date_window_only,zip,needs_ocr,14,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2015,Q3,2014-12-31,16-Jan-2015 18:23:02,https://nsearchives.nseindia.com/corporate/RELIANCE_31dec14_S_01162015182302_.zip,date_window_only,zip,needs_ocr,11,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2015,Q4,2015-03-31,17-Apr-2015 16:03:02,https://nsearchives.nseindia.com/corporate/RELIANCE_04172015160301_.zip,text_confirmed,zip,needs_ocr,13,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2016,Q1,2015-06-30,24-Jul-2015 16:29:53,https://nsearchives.nseindia.com/corporate/Reliance_24072015162953.zip,date_window_only,zip,needs_ocr,12,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2016,Q2,2015-09-30,16-Oct-2015 16:23:34,https://nsearchives.nseindia.com/corporate/RELIA_16102015162334.zip,date_window_only,zip,needs_ocr,14,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2016,Q3,2015-12-31,19-Jan-2016 16:45:05,https://nsearchives.nseindia.com/corporate/RELIANCE_19012016164505.zip,date_window_only,zip,needs_ocr,17,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2016,Q4,2016-03-31,22-Apr-2016 17:27:22,https://nsearchives.nseindia.com/corporate/Results_22042016172722.zip,date_window_only,zip,needs_ocr,21,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2017,Q1,2016-06-30,15-Jul-2016 17:07:23,https://nsearchives.nseindia.com/corporate/4185_001_15072016170723.zip,date_window_only,zip,needs_ocr,17,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2017,Q2,2016-09-30,20-Oct-2016 17:12:11,https://nsearchives.nseindia.com/corporate/1234_20102016171211.zip,date_window_only,zip,needs_ocr,21,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2017,Q3,2016-12-31,16-Jan-2017 17:26:46,https://nsearchives.nseindia.com/corporate/Q3_16012017172646.zip,text_confirmed,zip,needs_ocr,17,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2017,Q4,2017-03-31,24-Apr-2017 17:07:49,https://nsearchives.nseindia.com/corporate/123_24042017170749.zip,text_confirmed,zip,needs_ocr,27,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2018,Q1,2017-06-30,20-Jul-2017 17:44:16,https://nsearchives.nseindia.com/corporate/F18Q1FR_20072017174416.zip,text_confirmed,zip,needs_ocr,26,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2018,Q2,2017-09-30,13-Oct-2017 17:16:47,https://nsearchives.nseindia.com/corporate/FRH1F18_13102017171647.zip,text_confirmed,zip,needs_ocr,18,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2018,Q3,2017-12-31,19-Jan-2018 18:15:45,https://nsearchives.nseindia.com/corporate/FRQ3RIL_19012018181545.zip,text_confirmed,zip,extracted,38875,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2018,Q4,2018-03-31,27-Apr-2018 18:24:35,https://nsearchives.nseindia.com/corporate/1542_001_27042018182435.zip,text_confirmed,zip,extracted,52437,False,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2019,Q1,2018-06-30,27-Jul-2018 18:11:59,https://nsearchives.nseindia.com/corporate/RESULTSQ1201819_27072018181159.zip,text_confirmed,zip,extracted,34197,True,zip_contains_pdf(1_files)
